NP-0|नेपाल संवत्या प्रवर्तक शंखधर साख्वाःयात राष्ट्रिय विभूति घोषणा याःगु लसताय् दँय्‌दसं न्यायेका वयाच्वंगु शंखधर दिवस थुगुसी कछलाथ्व दशमी (मंसिर ९ गते) मंगलवाः तःजिक हनेत्यंगु दु ।|नेपाल संवत्या प्रवर्तक शंखधर साख्वाःयात राष्ट्रिय विभूति घोषणा याःगु लसताय् दँय्‌दसं न्यायेका वयाच्वंगु शंखधर दिवस थुगुसी कछलाथ्व दशमी (मंसिर ९ गते) मंगलवाः तःजिक हनेत्यंगु दु ।
NP-1|शंखधर दिवसया लसताय् सुथय् ७ ताः इलय् लखुतीर्थय् शंखधरया प्रतिमाया माल्यार्पण ज्याझ्वः तयातःगु दु ।|शंखधर दिवसया लसताय् सुथय् ७ ताः इलय् लखुतीर्थय् शंखधरया प्रतिमाया माल्यार्पण ज्याझ्वः तयातःगु दु ।
NP-2|थ्वयां लिपा व हे दिं सुथसिया ८ः३० ताः इलय् नेपाल संवत् आन्दोलनया न्ह्यलुवाः पद्मरत्न तुलाधरया लुमन्तिइ बिचाः मुँज्या जुइत्यंगु दु ।|थ्वयां लिपा व हे दिं सुथसिया ८ः३० ताः इलय् नेपाल संवत् आन्दोलनया न्ह्यलुवाः पद्मरत्न तुलाधरया लुमन्तिइ बिचाः मुँज्या जुइत्यंगु दु ।
NP-3|जगतसुन्दर ब्वनेकुथिइ जुइगु बिचाः मुँज्याय् मू पाहांकथं येँ महानगरपालिकाया मेयरभाजु विद्यासुन्दर शाक्य झायादीत्यंगु दु ।|जगतसुन्दर ब्वनेकुथिइ जुइगु बिचाः मुँज्याय् मू पाहांकथं येँ महानगरपालिकाया मेयरभाजु विद्यासुन्दर शाक्य झायादीत्यंगु दु ।
NP-4|बिचाः मुँज्याय् वामपन्थी नेता श्याम श्रेष्ठ, डा. पुष्पराज राजकर्णिकार, मल्ल के. सुन्दर, नेपालभाषा मंकाः खलःया नायः दुर्गालाल श्रेष्ठ व त्रिरत्न शाक्यपिंसं पद्मरत्न तुलाधरया विषयस थःथःपिनि बिचाः तइगु जूगु दु ।|बिचाः मुँज्याय् वामपन्थी नेता श्याम श्रेष्ठ, डा. पुष्पराज राजकर्णिकार, मल्ल के. सुन्दर, नेपालभाषा मंकाः खलःया नायः दुर्गालाल श्रेष्ठ व त्रिरत्न शाक्यपिंसं पद्मरत्न तुलाधरया विषयस थःथःपिनि बिचाः तइगु जूगु दु ।
NP-5|बिचाः मुँज्यायात नेवाः युट्युब व नेवाः सुचना केन्द्रं प्रत्यक्ष प्रशारण जुइत्यंगु दु ।|बिचाः मुँज्यायात नेवाः युट्युब व नेवाः सुचना केन्द्रं प्रत्यक्ष प्रशारण जुइत्यंगु दु ।
NP-6|हेटौंडा उपमहानगरपालिका १६ स च्वंगु शिवम् सिमेन्ट उद्योगय् मिँ च्याःगु दु ।|हेटौंडा उपमहानगरपालिका १६ स च्वंगु शिवम् सिमेन्ट उद्योगय् मिँ च्याःगु दु ।
NP-7|विद्युत प्रवाह चुहावट जुयाः उद्योगया कोइला च्याम्बरय् थौं शनिवाः सुथय् मिँ च्याःगु जिल्ला प्रहरी ज्याकुथिया प्रहरी नायव उपरीक्षक इन्द्रबहादुर रानां जानकारी ब्यूगु दु ।|विद्युत प्रवाह चुहावट जुयाः उद्योगया कोइला च्याम्बरय् थौं शनिवाः सुथय् मिँ च्याःगु जिल्ला प्रहरी ज्याकुथिया प्रहरी नायव उपरीक्षक इन्द्रबहादुर रानां जानकारी ब्यूगु दु ।
NP-8|रानां मिँ च्याःगुपाखें मावनीय व तःधंगु धनजनया क्षति मजूगु धाःगु दु ।|रानां मिँ च्याःगुपाखें मावनीय व तःधंगु धनजनया क्षति मजूगु धाःगु दु ।
NP-9|स्थानीय बासिन्दा, प्रहरी, उद्योगया कर्मचारी लिसें हेटौंडा उपमहानगरपालिकाया दमकलपाखें मिँ नियन्त्रणय् काःगु खः ।|स्थानीय बासिन्दा, प्रहरी, उद्योगया कर्मचारी लिसें हेटौंडा उपमहानगरपालिकाया दमकलपाखें मिँ नियन्त्रणय् काःगु खः ।
